category_id,category_name,description
1,Electronics,"Gadgets and devices like smartphones, laptops, and accessories. "
2,Fashion,"Clothing, shoes, and accessories for all ages. "
3,Home Appliances,Machines and devices for household tasks and comfort. 
4,Books,Printed and digital books across various genres. 
5,Beauty & Personal Care,"Products for grooming, skincare, and beauty. "
6,Sports & Fitness,Equipment and apparel for exercise and sports. 
7,Groceries,Food and drink items for everyday consumption. 
8,Toys & Baby Products,"Items for children and infants, including toys and baby gear. "
9,Automotive,"Parts, accessories, and tools for vehicles. "
10,Furniture,Pieces for home and office furnishings and decor. 
